id	lon	lat	label
2012	-118.263556	34.092176	AQMD_NASA_12
2014	-118.13797	34.138439	AQMD_NASA_18
2016	-118.086787	33.770339	SCSB_09
2018	-118.091725	33.762364	SCSB_3
2020	-118.082689	33.762314	SCSB_07
2023	-118.086954	33.765678	SCSB_6
2025	-118.083176	33.766134	SCSB_05
2027	-118.406339	34.020148	AQMD_NASA_7
2029	-118.247131	34.062618	AQMD_NASA_17
2031	-122.423638	37.733207	St Mary's Park
2035	-118.294484	33.730624	CCA 15th and Cabrillo
2047	-118.302035	33.746124	CCA SP-12
2063	-122.347209	37.393557	Kings Mountain SW
2083	-118.395863	34.032463	D52A
2151	-118.426446	34.021077	SCUV_11
2153	-118.089257	33.767108	SCSC_33
2155	-117.416764	33.999978	RIVR_Co-loc6
2157	-118.430019	34.025083	SCUV_07
2159	-118.427457	34.022491	SCUV_10
2161	-118.076568	33.766386	SCSB_32
2163	-118.424783	34.021787	SCUV_01
2165	-118.430332	34.025367	SCUV_08
2167	-117.416764	33.999978	RIVR_Co-loc5
2169	-118.090093	33.770245	SCSB_31
2171	-118.430001	34.024557	SCUV_15Indoor
2173	-118.428724	34.023383	SCUV_19
2219	-118.307823	33.72934	CCASP-08
2263	-118.107809	34.127524	outside huntington library
2279	-118.276473	33.786567	CCAW-6
2281	-117.331533	33.956247	Taca
2285	-117.345834	33.874158	mariposa ave Woodcrest CA
2287	-118.223757	34.085236	CCA Jeffries
2293	-122.158814	38.05337	Downtown Benicia
2295	-117.367212	33.958371	Riverside House2
2297	-118.428173	34.022544	SCUV_16Indoor
2303	-118.087671	33.761992	SCSB_26
2305	-119.290993	36.332542	JPL_Visalia_CARB
2307	-118.078203	33.765387	SCSB_17
2309	-118.426295	34.023561	SCUV_04
2313	-118.425094	34.021475	SCUV_02
2315	-118.426784	34.020718	SCUV_14Indoor
2323	-118.078867	33.769011	SCSB_14
2325	-117.416764	33.999978	RIVR_Co-loc4
2327	-118.429855	34.024709	SCUV_20indoor
2336	-118.084689	33.769814	SCSB_25
2340	-118.425539	34.022499	SCUV_03
2344	-119.000008	35.331506	JPL_Bakersfield_AERONET
2346	-117.416764	33.999978	RIVR_Co-loc3
2348	-118.078579	33.768809	SBSC_15
2350	-119.06261	35.35662	JPL_Bakersfield_CARB
2352	-118.196411	33.770151	SCSB_20
2354	-118.078255	33.765174	SCSB_18
2356	-118.089287	33.759892	SCSB_30
2358	-119.773232	36.785384	JPL_Fresno-Garland_CARB
2360	-118.083652	33.768011	SCSB_21
2362	-118.222371	34.076629	AQMD_NASA_29
2364	-118.078659	33.765742	SCSB_19
2366	-118.083483	33.771323	SCSB_23
2368	-120.99421	37.64217	JPL_Modesto_CARB
2370	-118.081437	33.765073	SCSB_16
2372	-118.091998	33.777669	SCSB_22
2374	-118.087791	33.765591	SCSB_29
2376	-118.083032	33.772936	SCSB_24
2378	-118.090923	33.769515	SCSB_27
2380	-118.092711	33.770419	SCSB_28
2390	-119.918529	34.43895	Rancho Embarcadero
2404	-118.426716	34.02421	SCUV_06
2408	-118.427932	34.022767	SCUV_18Indoor
2412	-118.427449	34.025144	SCUV_05
2414	-118.426512	34.020427	SCUV_17
2416	-118.426511	34.020502	SCUV_12
2428	-115.532663	32.974005	SCIV_01
2430	-118.0441	33.7792	AQMD_NASA_19
2432	-115.550333	32.978798	350 w e st brawley ca
2434	-115.472319	32.687349	SCIV_07_Medina
2436	-118.0441	33.7792	AQMD_NASA_22
2440	-118.600773	34.390163	AQMD_NASA_36
2444	-115.467421	32.691232	SCUV_10
2448	-118.116041	34.071142	SCAP_01
2452	-118.002345	34.077294	SCEM_05
2456	-118.425107	34.021507	SCUV_02b
2462	-118.107326	34.125756	outside huntington library alt
2464	-118.220708	33.97171	AQMD_NASA_45
2466	-116.97613	33.79644	SCSJ_01
2480	-122.233247	38.122023	Howard Ave
